job_id,date,location,service_type,budgeted_hours,crew_id,status,notes
JOB-2025-11-01-001,2025-11-01,Oak Park Plaza,Full Service,4.0,foreman1,completed,
JOB-2025-11-01-002,2025-11-01,Riverside Mall,Mowing,2.0,foreman2,completed,
JOB-2025-11-01-003,2025-11-01,Downtown Office Complex,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-01-004,2025-11-01,Sunset Apartments,Cleanup,1.0,foreman2,completed,
JOB-2025-11-01-005,2025-11-01,Green Valley School,Landscaping,6.0,foreman1,completed,
JOB-2025-11-01-006,2025-11-01,City Hall,Maintenance,3.0,foreman2,completed,
JOB-2025-11-01-007,2025-11-01,Memorial Park,Full Service,4.0,foreman1,completed,
JOB-2025-11-01-008,2025-11-01,Westside Shopping Center,Mowing,2.0,foreman2,completed,
JOB-2025-11-01-009,2025-11-01,Lakeside Commons,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-01-010,2025-11-01,Highland Medical Center,Cleanup,1.0,foreman2,completed,
JOB-2025-11-01-011,2025-11-01,Brookfield Business Park,Landscaping,6.0,foreman2,completed,
JOB-2025-11-01-012,2025-11-01,Cedar Grove HOA,Maintenance,3.0,foreman1,completed,
JOB-2025-11-02-001,2025-11-02,Oak Park Plaza,Full Service,4.0,foreman2,completed,
JOB-2025-11-02-002,2025-11-02,Riverside Mall,Mowing,2.0,foreman1,completed,
JOB-2025-11-02-003,2025-11-02,Downtown Office Complex,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-02-004,2025-11-02,Sunset Apartments,Cleanup,1.0,foreman1,completed,
JOB-2025-11-02-005,2025-11-02,Green Valley School,Landscaping,6.0,foreman2,completed,Required additional cleanup due to weather
JOB-2025-11-02-006,2025-11-02,City Hall,Maintenance,3.0,foreman1,completed,
JOB-2025-11-02-007,2025-11-02,Memorial Park,Full Service,4.0,foreman2,completed,
JOB-2025-11-02-008,2025-11-02,Westside Shopping Center,Mowing,2.0,foreman1,completed,
JOB-2025-11-02-009,2025-11-02,Lakeside Commons,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-02-010,2025-11-02,Highland Medical Center,Cleanup,1.0,foreman1,completed,
JOB-2025-11-02-011,2025-11-02,Brookfield Business Park,Landscaping,6.0,foreman1,completed,
JOB-2025-11-02-012,2025-11-02,Cedar Grove HOA,Maintenance,3.0,foreman2,completed,
JOB-2025-11-03-001,2025-11-03,Oak Park Plaza,Full Service,4.0,foreman1,completed,
JOB-2025-11-03-002,2025-11-03,Riverside Mall,Mowing,2.0,foreman2,completed,
JOB-2025-11-03-003,2025-11-03,Downtown Office Complex,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-03-004,2025-11-03,Sunset Apartments,Cleanup,1.0,foreman2,completed,
JOB-2025-11-03-005,2025-11-03,Green Valley School,Landscaping,6.0,foreman1,completed,
JOB-2025-11-03-006,2025-11-03,City Hall,Maintenance,3.0,foreman2,completed,
JOB-2025-11-03-007,2025-11-03,Memorial Park,Full Service,4.0,foreman1,completed,
JOB-2025-11-03-008,2025-11-03,Westside Shopping Center,Mowing,2.0,foreman2,completed,
JOB-2025-11-03-009,2025-11-03,Lakeside Commons,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-03-010,2025-11-03,Highland Medical Center,Cleanup,1.0,foreman2,completed,
JOB-2025-11-03-011,2025-11-03,Brookfield Business Park,Landscaping,6.0,foreman2,completed,
JOB-2025-11-03-012,2025-11-03,Cedar Grove HOA,Maintenance,3.0,foreman1,completed,
JOB-2025-11-04-001,2025-11-04,Oak Park Plaza,Full Service,4.0,foreman2,completed,
JOB-2025-11-04-002,2025-11-04,Riverside Mall,Mowing,2.0,foreman1,completed,
JOB-2025-11-04-003,2025-11-04,Downtown Office Complex,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-04-004,2025-11-04,Sunset Apartments,Cleanup,1.0,foreman1,completed,
JOB-2025-11-04-005,2025-11-04,Green Valley School,Landscaping,6.0,foreman2,completed,
JOB-2025-11-04-006,2025-11-04,City Hall,Maintenance,3.0,foreman1,completed,
JOB-2025-11-04-007,2025-11-04,Memorial Park,Full Service,4.0,foreman2,completed,
JOB-2025-11-04-008,2025-11-04,Westside Shopping Center,Mowing,2.0,foreman1,completed,
JOB-2025-11-04-009,2025-11-04,Lakeside Commons,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-04-010,2025-11-04,Highland Medical Center,Cleanup,1.0,foreman1,completed,Required additional cleanup due to weather
JOB-2025-11-04-011,2025-11-04,Brookfield Business Park,Landscaping,6.0,foreman1,completed,
JOB-2025-11-04-012,2025-11-04,Cedar Grove HOA,Maintenance,3.0,foreman2,completed,
JOB-2025-11-05-001,2025-11-05,Oak Park Plaza,Full Service,4.0,foreman1,completed,
JOB-2025-11-05-002,2025-11-05,Riverside Mall,Mowing,2.0,foreman2,completed,
JOB-2025-11-05-003,2025-11-05,Downtown Office Complex,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-05-004,2025-11-05,Sunset Apartments,Cleanup,1.0,foreman2,completed,
JOB-2025-11-05-005,2025-11-05,Green Valley School,Landscaping,6.0,foreman1,completed,
JOB-2025-11-05-006,2025-11-05,City Hall,Maintenance,3.0,foreman2,completed,
JOB-2025-11-05-007,2025-11-05,Memorial Park,Full Service,4.0,foreman1,completed,
JOB-2025-11-05-008,2025-11-05,Westside Shopping Center,Mowing,2.0,foreman2,completed,
JOB-2025-11-05-009,2025-11-05,Lakeside Commons,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-05-010,2025-11-05,Highland Medical Center,Cleanup,1.0,foreman2,completed,
JOB-2025-11-05-011,2025-11-05,Brookfield Business Park,Landscaping,6.0,foreman2,completed,
JOB-2025-11-05-012,2025-11-05,Cedar Grove HOA,Maintenance,3.0,foreman1,completed,
JOB-2025-11-06-001,2025-11-06,Oak Park Plaza,Full Service,4.0,foreman2,completed,
JOB-2025-11-06-002,2025-11-06,Riverside Mall,Mowing,2.0,foreman1,completed,
JOB-2025-11-06-003,2025-11-06,Downtown Office Complex,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-06-004,2025-11-06,Sunset Apartments,Cleanup,1.0,foreman1,completed,
JOB-2025-11-06-005,2025-11-06,Green Valley School,Landscaping,6.0,foreman2,completed,
JOB-2025-11-06-006,2025-11-06,City Hall,Maintenance,3.0,foreman1,completed,
JOB-2025-11-06-007,2025-11-06,Memorial Park,Full Service,4.0,foreman2,completed,
JOB-2025-11-06-008,2025-11-06,Westside Shopping Center,Mowing,2.0,foreman1,completed,
JOB-2025-11-06-009,2025-11-06,Lakeside Commons,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-06-010,2025-11-06,Highland Medical Center,Cleanup,1.0,foreman1,completed,
JOB-2025-11-06-011,2025-11-06,Brookfield Business Park,Landscaping,6.0,foreman1,completed,
JOB-2025-11-06-012,2025-11-06,Cedar Grove HOA,Maintenance,3.0,foreman2,completed,
JOB-2025-11-07-001,2025-11-07,Oak Park Plaza,Full Service,4.0,foreman1,completed,
JOB-2025-11-07-002,2025-11-07,Riverside Mall,Mowing,2.0,foreman2,completed,
JOB-2025-11-07-003,2025-11-07,Downtown Office Complex,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-07-004,2025-11-07,Sunset Apartments,Cleanup,1.0,foreman2,completed,
JOB-2025-11-07-005,2025-11-07,Green Valley School,Landscaping,6.0,foreman1,completed,Required additional cleanup due to weather
JOB-2025-11-07-006,2025-11-07,City Hall,Maintenance,3.0,foreman2,completed,
JOB-2025-11-07-007,2025-11-07,Memorial Park,Full Service,4.0,foreman1,completed,
JOB-2025-11-07-008,2025-11-07,Westside Shopping Center,Mowing,2.0,foreman2,completed,
JOB-2025-11-07-009,2025-11-07,Lakeside Commons,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-07-010,2025-11-07,Highland Medical Center,Cleanup,1.0,foreman2,completed,
JOB-2025-11-07-011,2025-11-07,Brookfield Business Park,Landscaping,6.0,foreman2,completed,
JOB-2025-11-07-012,2025-11-07,Cedar Grove HOA,Maintenance,3.0,foreman1,completed,
JOB-2025-11-08-001,2025-11-08,Oak Park Plaza,Full Service,4.0,foreman2,completed,
JOB-2025-11-08-002,2025-11-08,Riverside Mall,Mowing,2.0,foreman1,completed,
JOB-2025-11-08-003,2025-11-08,Downtown Office Complex,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-08-004,2025-11-08,Sunset Apartments,Cleanup,1.0,foreman1,completed,
JOB-2025-11-08-005,2025-11-08,Green Valley School,Landscaping,6.0,foreman2,completed,
JOB-2025-11-08-006,2025-11-08,City Hall,Maintenance,3.0,foreman1,completed,
JOB-2025-11-08-007,2025-11-08,Memorial Park,Full Service,4.0,foreman2,completed,
JOB-2025-11-08-008,2025-11-08,Westside Shopping Center,Mowing,2.0,foreman1,completed,
JOB-2025-11-08-009,2025-11-08,Lakeside Commons,Trimming & Edging,1.5,foreman2,completed,
JOB-2025-11-08-010,2025-11-08,Highland Medical Center,Cleanup,1.0,foreman1,completed,
JOB-2025-11-08-011,2025-11-08,Brookfield Business Park,Landscaping,6.0,foreman1,completed,
JOB-2025-11-08-012,2025-11-08,Cedar Grove HOA,Maintenance,3.0,foreman2,completed,
JOB-2025-11-09-001,2025-11-09,Oak Park Plaza,Full Service,4.0,foreman1,completed,
JOB-2025-11-09-002,2025-11-09,Riverside Mall,Mowing,2.0,foreman2,completed,
JOB-2025-11-09-003,2025-11-09,Downtown Office Complex,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-09-004,2025-11-09,Sunset Apartments,Cleanup,1.0,foreman2,completed,
JOB-2025-11-09-005,2025-11-09,Green Valley School,Landscaping,6.0,foreman1,completed,
JOB-2025-11-09-006,2025-11-09,City Hall,Maintenance,3.0,foreman2,completed,
JOB-2025-11-09-007,2025-11-09,Memorial Park,Full Service,4.0,foreman1,completed,
JOB-2025-11-09-008,2025-11-09,Westside Shopping Center,Mowing,2.0,foreman2,completed,
JOB-2025-11-09-009,2025-11-09,Lakeside Commons,Trimming & Edging,1.5,foreman1,completed,
JOB-2025-11-09-010,2025-11-09,Highland Medical Center,Cleanup,1.0,foreman2,completed,
JOB-2025-11-09-011,2025-11-09,Brookfield Business Park,Landscaping,6.0,foreman2,completed,
JOB-2025-11-09-012,2025-11-09,Cedar Grove HOA,Maintenance,3.0,foreman1,completed,

